Make,Model,Horsepower,WeightEmpty,FuelCapacity,WeightGross,SpeedTop,SpeedCruise,SpeedStall,Range,TakeoffGroundRoll,LandingGroundRoll,Takeoff50ftObst,Landing50ftObst,RateOfClimb,RateOfClimbSingle,Ceiling,CeilingSingle,FuelBurn,Id
Aeronca,11 AC Chief,65,786,15,1250,78,72,33,180,0,0,583,880,360,,11000,,,1
Aeronca,11 CC Super Chief,85,820,15,1350,89,83,44,190,0,0,720,800,600,,12300,,,2
Aeronca,15 Ac Sedan,145,1180,36,2050,104,91,46,370,0,0,900,1300,450,,13000,,,3
Aeronca,7 AC Champ,65,740,14,1220,83,74,33,175,0,0,632,885,370,,12500,,,4
Aeronca,7 CCM Champ,90,810,19,1300,90,78,37,210,0,0,475,850,650,,16000,,,5
Aeronca,7 DC Champ,85,800,19,1300,88,78,37,210,0,0,500,850,620,,13000,,,6
Aerospatiale,Socata TB-20 Trinidad,250,1744,86,3083,167,160,54,1100,1193,755,1953,1750,1260,,20000,,,7
Aerospatiale,Socata TBM 700,700,4050,281,6579,300,291,61,1563,1017,1181,1591,2034,2380,,30000,,,8
Aerostar,PA-60-700P Aerostar (preliminary),350,4275,165,6315,264,230,80,868,1950,1425,3080,2100,1820,320,25000,14500,,9
Aerostar,PA-600,600A,-Aerostar,290,3737,165,5500,220,212,74,1200,1550,1040,1950,1840,1800,360,21200,6300,,10
Aerostar,PA-601, 601A, Turbocharged Aerostar,290,3750,174,5700,271,236,69,1174,1800,980,2200,1625,1700,370,30100,10800,,11
Aerostar,PA-601B Turbocharged Aerostar (after 1980),290,3958,165,6000,257,237,77,1174,1900,1230,2490,2030,1460,240,30000,8800,,12
Aerostar,PA-601P pressurized Aerostar,290,4056,165,6000,257,235,77,1101,1900,1230,2490,2030,1460,240,25000,8800,,13
Aerostar,PA-601P pressurized Aerostar (1977),290,4056,165,6000,257,235,77,1101,1900,1230,2490,2030,1460,240,26350,8800,,14
Aerostar,PA-602P Aerostar,290,4125,165,6000,262,247,77,1020,1800,1217,2250,2076,1755,302,28000,12900,,15
American Champion,7ACA,60,750,13,1220,85,75,38,261,525,0,850,,400,,8500,,,16
American Champion,7EC,90,820,26,1450,117,97,38,350,840,400,1240,700,700,,15500,,,17
American Champion,7ECA,,1067,35,1650,109,107,44,301,450,400,716,775,725,,12000,,,18
American Champion,7GCAA,150,1140,39,1650,113,109,43,411,375,400,535,755,1120,,17000,,,19
American Champion,7GCB,150,1050,37,1650,109,103,37,411,366,320,617,718,1140,,18100,,,20
American Champion,7GCBC,150,1150,35,1650,113,111,39,480,296,310,457,690,1145,,17000,,,21
American Champion,7GCBC with EDO floats,150,1290,39,1800,97,90,46,248,0,0,,,800,,16000,,,22
American Champion,7KCAB,150,1140,39,1650,116,109,43,411,375,400,535,755,1120,,17000,,,23
American Champion,8KCAB-150 F/P prop(w/optional speed kit),150,1260,40,1800,147,137,52,404,0,0,,,1000,,16000,,,24
American General / Grumman,AA-1A Trainer,108,1007,24,1500,120,109,51,350,725,395,1400,1065,765,,13750,,,25
American General / Grumman,AA-1B Trainer,108,975,24,1560,120,108,52,348,890,410,1590,1100,705,,12750,,,26
American General / Grumman,AA5 Traveler,150,1271,38,2200,130,122,50,503,880,380,1600,1100,660,,12650,,,27
American General / Grumman,AA5 Traveler (1975),150,1271,38,2200,137,129,50,503,880,380,1600,1100,660,,12650,,,28
American General / Grumman,AA5A Cheetah,150,1323,37,2200,136,127,52,428,880,380,1600,1100,660,,12650,,,29
American General / Grumman,AG5B Tiger,180,1360,51,2400,148,139,53,530,865,410,1550,1120,850,,13800,,,30
American General / Grumman,GA-7 Cougar (twin),160,2588,80,3800,168,160,63,680,1000,710,1805,1330,1160,200,17400,4250,,31
American General / Grumman,GA-7 Cougar (twin) (1977),160,2588,80,3800,168,160,63,680,1000,710,1805,1330,1160,200,18300,4900,,32
Beech,23 Musketeer,160,1300,60,2300,123,111,52,800,925,640,1275,1260,720,,13500,,,33
Beech,33 Debonair,225,1730,50,2900,170,161,52,550,940,635,1235,1282,1010,,19800,,,34
Beech,35 Bonanza,185,1458,39,2550,160,150,48,530,1200,580,1440,925,950,,18000,,,35
Beech,36 Bonanza,285,1980,50,3600,177,170,56,510,1112,683,1525,1240,1015,,16000,,,36
Beech,50 Twin Bonanza,260,3800,134,5500,177,158,56,722,1080,975,1350,1215,1450,320,19000,6500,,37
Beech,55 Baron,260,2960,112,4880,200,191,66,745,1255,1250,1700,1470,1630,350,19200,7600,,38
Beech,56 TC Turbo Baron,380,3650,142,5990,252,247,73,737,1005,1285,1420,2080,2020,410,32200,18600,,39
Beech,58 Baron,285,3361,136,5400,208,195,74,1109,1336,1439,2101,2498,1660,390,18600,7000,,40
Beech,58 Baron (300 hp),300,3443,136,5500,208,195,74,1109,1403,1439,2371,2498,1750,394,20688,7284,,41
Beech,58 P Baron Turbocharged.-specs thru 1976,310,3985,166,6100,231,207,79,1104,1654,1471,2761,2498,1424,205,25000,13220,,42
Beech,58 P Baron(325) pressurized,325,4026,166,6200,261,232,78,1013,1555,1378,2643,2427,1475,223,25000,12220,,43
Beech,58 P Baron-Press.,310,3985,166,6100,256,214,79,1130,1480,1471,2376,2498,1529,204,25000,14400,,44
Beech,58 TC Baron (325) Turbocharged-non-pressurized,325,3788,166,6200,261,232,78,1013,1555,1378,2643,2427,1475,270,25000,13490,,45
Beech,58 TC Baron (non-press./Turbocharged.),310,3780,166,6100,250,214,79,1130,1480,1471,2376,2498,1461,204,25000,14400,,46
Beech,60 Duke Pressurized,380,4100,142,6725,249,236,76,824,1253,1590,1660,2340,1615,319,31300,15700,,47
Beech,65 Queen Air,340,4640,180,7700,200,186,70,630,1310,1425,1700,1980,1300,210,27000,12100,,48
Beech,70 Queen Air,340,4995,214,8200,208,186,70,755,1269,1244,1675,2107,1375,230,30000,14900,,49
Beech,76 Duchess,180,2460,100,3900,171,158,60,843,1017,1000,2119,1881,1248,235,19650,6170,,50
Beech,77 Skipper,115,1103,29,1675,106,97,47,370,780,670,1280,1313,720,,12900,,,51
Beech,80 Queen Air,380,4800,230,8000,208,191,67,746,1060,1160,1450,2070,1300,180,28000,12100,,52
Beech,88 queen Air pressurized,380,6035,264,8800,214,192,71,902,1372,1340,1800,2311,1275,265,26800,11800,,53
Beech,90 King Air,500,5680,384,9000,243,235,75,1270,1350,1250,1755,1870,2000,525,28400,17700,,54
Beech,95, B95 Travel Air,180,2635,80,4100,183,170,61,661,1740,1015,2100,1850,1250,205,18100,4400,,55
Beech,A 23 Musketeer,165,1325,60,2350,127,120,50,565,990,640,1460,1260,880,,11870,,,56
Beech,A 23-19, Sport III, Musketeer,150,1325,60,2200,122,114,48,800,840,590,1255,1220,900,,14900,,,57
Beech,A 35 Bonanza,185,1575,39,2650,160,148,49,470,1275,625,1515,950,890,,17100,,,58
Beech,A 36 Bonanza,285,2195,74,3600,179,168,52,697,1140,840,2040,1450,1030,,16600,,,59
Beech,A 36 Bonanza (300 hp),300,2247,74,3650,184,169,59,720,971,913,1913,1473,1210,,18500,,,60
Beech,A 36 TC Bonanza(turbo),300,2278,74,3650,214,190,57,800,1176,721,2012,1449,1165,,25000,,,61
Beech,A 55 Baron,260,2960,112,4880,200,191,66,745,910,960,1700,1470,1700,350,19500,7600,,62
Beech,A 60 Duke pressurized,380,4175,142,6775,249,240,76,824,2006,1318,2626,3065,1601,307,30800,15100,,63
Beech,A 65 Queen Air,340,4980,214,7700,208,186,70,755,1180,1330,1560,1750,1300,245,31300,15500,,64
Beech,A 80 Queen Air,380,4900,214,8500,219,200,70,716,1500,1510,1800,2143,1585,275,28500,13400,,65
Beech,A 90 King Air,550,5680,384,9300,223,216,77,1160,1730,1250,2150,1960,1900,490,30200,17700,,66
Beech,A,B 33 Debonair,225,1745,50,3000,170,161,52,568,982,643,1235,1282,960,,18400,,,67
Beech,A-24R Sierra 200,200,1610,58,2750,148,141,57,704,1100,760,1630,1380,862,,14350,,,68
Beech,A23A Musketeer,165,1325,60,2400,127,120,50,565,990,640,1460,1260,880,,11870,,,69
Beech,A56TC Turbo Baron,380,3700,142,5990,252,247,73,737,1005,1285,1420,2080,2020,410,32200,18600,,70
Beech,B 19 Sport 150 (1977 and later),150,1414,57,2150,110,107,50,643,1030,824,1635,1693,680,,11650,,,71
Beech,B 19 Sport 150 (prior to 1977),150,1414,52,2150,110,107,50,643,1030,824,1635,1693,680,,11650,,,72
Beech,B 24R Sierra 200,200,1711,52,2750,140,131,55,591,1169,803,1804,1519,891,,14342,,,73
Beech,B 35 Bonanza,196,1575,39,2650,160,148,49,470,1275,625,1515,950,890,,17100,,,74
Beech,B 36 TC Bonanza,300,2338,102,3850,213,190,57,957,1156,976,2364,1692,1049,,25000,,,75
Beech,B 50 Twin Bonanza,260,3940,134,6000,177,159,60,733,1080,975,1344,1215,1450,300,20000,6500,,76
Beech,B 55 (SN 955 and up),260,3075,112,5000,205,196,68,763,910,840,1225,1370,1670,320,19700,7000,,77
Beech,B 55 (SN up to 954),260,3075,112,5100,205,196,68,763,910,840,1225,1370,1670,320,19700,7000,,78
Beech,B 55 Baron (1978 & up),260,3236,100,5100,201,184,73,739,1400,1467,2154,2148,1693,397,19300,6400,,79
Beech,B 60 Duke pressurized (1978 and after),380,4425,142,6775,246,233,73,1010,2075,1318,2626,3065,1601,307,30000,15100,,80
Beech,B 60 Duke pressurized (prior to 1978),380,4425,142,6775,246,233,73,1010,2006,1318,2626,3065,1601,307,30000,15100,,81
Beech,B 80 Queen Air - specs thru 1972,380,5120,214,8800,216,195,71,716,1372,1340,1800,2311,1275,265,26800,11800,,82
Beech,B 80 Queen Air 1973 thru 1978,380,5277,200,8800,216,196,70,656,2007,1620,2556,2572,1275,210,26800,11800,,83
Beech,B 90 King Air,550,5685,384,9650,223,219,74,1185,1750,980,2180,2010,2000,555,27200,14100,,84
Beech,B 95A, D 95A Travel Air (fuel inj.),180,2635,80,4200,183,174,61,661,1740,1015,2100,1850,1250,205,18100,4400,,85
Beech,C 23 Sundowner (1977 and later),180,1494,57,2450,128,116,51,565,1130,703,1955,1484,792,,12600,,,86
Beech,C 23 Sundowner (prior to 1976),180,1494,52,2450,128,116,51,565,1130,703,1955,1484,792,,12600,,,87
Beech,C 33 A Debonair,285,1775,50,3300,181,174,53,520,880,632,1225,1150,1200,,18300,,,88
Beech,C 33 Debonair,225,1854,50,3050,170,161,52,568,982,643,1288,1298,980,,18300,,,89
Beech,C 50 Twin Bonanza,275,3956,134,6000,178,161,60,726,1000,1000,1260,1375,1450,300,20000,6500,,90
Beech,C 90,C90-1 (-1 has increased speed),550,5765,384,9650,223,217,76,1120,1629,737,2261,1672,1955,539,28100,15050,,91
Beech,C,D 35 Bonanza,205,1650,39,2700,165,152,48,510,1250,625,1500,975,1100,,18000,,,92
Beech,C-24R Sierra 200 (1978 and later),200,1696,57,2750,145,137,60,647,1063,816,1561,1462,927,,15385,,,93
Beech,C-24R Sierra 200 (prior to 1978),200,1696,57,2750,145,137,60,647,1063,816,1561,1462,927,,16400,,,94
Beech,C55, D55 Baron,285,3075,112,5300,210,200,67,550,596,868,968,1414,1670,335,20900,7100,,95
Beech,C90A King Air(LJ-1063 up),550,5765,384,10100,247,240,75,1120,1629,737,2261,1672,2137,626,30000,15591,,96
Beech,Custom III Musketeer,180,1375,60,2400,127,120,50,565,990,640,1460,1260,728,,11870,,,97
Beech,D 18 S Twin Beech,450,5770,206,8750,200,183,67,632,1405,1250,1760,1460,1190,225,20500,7750,,98
Beech,D50,A,B,C,E, Twin Bonanza,295,4100,134,6300,186,178,62,670,1000,1010,1260,1452,1450,290,20000,7000,,99
Beech,E 18 Super Twin Beech,450,6150,206,9300,203,187,71,638,1655,1480,2079,1569,1250,290,23000,8400,,100
Beech,E 33 A Bonanza (conventional tail),285,1915,50,3300,181,174,53,520,880,625,1225,1150,1200,,18300,,,101
Beech,E 35 Bonanza,225,1722,39,2725,169,160,48,550,1060,680,1270,1025,1300,,19000,,,102
Beech,E 55 Baron,285,3291,100,5300,208,195,73,934,1315,1237,2050,2202,1682,388,19100,6600,,103
Beech,E 90 King Air,550,5996,474,10100,250,245,77,1290,1553,1030,2024,2110,1870,470,27620,14390,,104
Beech,E 95 Travel Air (fuel inj.),180,2650,80,4200,183,174,61,661,1000,980,1280,1590,1250,205,18100,4400,,105
Beech,E,F,G 50 Twin Bonanza supercharged,340,4460,180,7000,209,184,72,813,975,1250,1250,1840,1320,325,29500,12500,,106
Beech,F & E 33-C Bonanza (conventional tail),285,1918,50,3300,181,174,53,520,880,625,1225,1150,1200,,18300,,,107
Beech,F & E Bonanza (conventional tail),225,1862,50,3050,170,161,52,520,982,643,1288,1298,930,,17800,,,108
Beech,F 35 Bonanza,225,1722,39,2750,169,160,48,550,1060,680,1270,1025,1300,,19000,,,109
Beech,F90 King Air,750,6549,470,10950,267,261,77,1235,2090,1194,2856,2275,2380,600,29802,14419,,110
Beech,F90-1 King Air,750,6647,470,10950,279,265,79,1235,2012,1194,2808,2275,2455,632,30450,15300,,111
Beech,G 18 Super Twin Beech,450,5910,275,9700,200,186,73,880,1585,1480,1980,1850,1410,300,21400,8000,,112
Beech,G 33 Bonanza,260,1935,50,3300,177,168,49,513,1023,625,1516,1150,1060,,16600,,,113
Beech,G 35 Bonanza,225,1722,39,2775,169,160,48,550,1060,680,1270,1025,1300,,19000,,,114
Beech,H 18 Super Twin Beech,450,5845,198,9900,204,191,76,622,1650,1480,2072,1850,1400,260,20300,7900,,115
Beech,H 35 Bonanza,240,1820,39,2900,179,165,50,470,1050,710,1260,1050,1225,,19800,,,116
Beech,H,J 50 Twin Bonanza supercharged,340,4480,180,7300,204,180,72,787,975,1280,1250,1840,1270,290,29500,12500,,117
Beech,J 35 Bonanza,250,1820,39,2900,183,174,50,492,925,710,1175,1050,1250,,21300,,,118
Beech,K,M 35 Bonanza,250,1832,49,2950,183,170,52,495,950,710,1185,1050,1170,,20000,,,119
Beech,N,P 35 Bonanza,260,1855,50,3125,178,170,52,535,1050,650,1260,1100,1150,,19200,,,120
Beech,S 35 Bonanza,285,1915,50,3300,184,178,54,543,880,625,1225,1150,1200,,18300,,,121
Beech,Super III Musketeer (A-23-24),200,1410,60,2550,137,130,52,643,950,660,1380,1300,880,,14850,,,122
Beech,V 35 A & B-TC Turbo Bonanza,285,2027,50,3400,217,200,55,600,950,647,1320,1177,1225,,29500,,,123
Beech,V 35 A Bonanza,285,1960,44,3400,183,177,55,536,965,647,1320,1177,1136,,17500,,,124
Beech,V 35 Bonanza,285,1915,50,3400,183,177,55,543,965,647,1320,1177,1136,,17500,,,125
Beech,V 35 TC Turbo Bonanza,285,1950,50,3400,209,195,55,580,965,647,1320,1177,1225,,26600,,,126
Bellanca,14-19 Cruisemaster,190,1575,40,2600,174,157,38,435,850,450,1270,1025,1250,,21500,,,127
Bellanca,14-19-2 Cruisemaster,230,1640,40,2700,179,170,42,452,760,470,1025,1150,1400,,20000,,,128
Bellanca,17-30-300 Viking (Continental eng),300,1900,58,3200,167,163,54,550,450,575,890,1050,1840,,21000,,,129
Bellanca,17-30A, (1979 and after),300,2185,68,3325,181,176,61,550,0,0,1420,1340,1210,,20000,,,130
Bellanca,17-30A, 300-Cont.,300,2217,60,3325,166,163,61,550,980,835,1420,1340,1085,,17000,,,131
Bellanca,17-30A, 300-Cont.(1978),300,2217,68,3325,177,174,61,623,980,835,1420,1340,1085,,17000,,,132
Bellanca,17-31 ATC Turbo, 300-Lyc. (1978 and after),300,2372,68,3325,193,187,61,760,980,835,1420,1340,1170,,24000,,,133
Bellanca,17-31 ATC Turbo, 300-Lyc. (prior to 1978),300,2372,60,3325,193,187,61,670,980,835,1420,1340,1170,,24000,,,134
Bellanca,17-31A, (1978 and after),300,2247,68,3325,174,165,61,483,980,835,1420,1340,1170,,18200,,,135
Bellanca,17-31A, (prior to 1978),300,2247,60,3325,168,159,61,426,980,835,1420,1340,1170,,18200,,,136
Bellanca,17-31TC, Turbo Super Viking (Lycoming eng),250,2010,72,3200,193,187,54,760,460,575,890,1100,1800,,24000,,,137
Cessna,120,85,818,25,1450,104,100,43,390,650,460,1850,1530,640,,15500,,,138
