AirportName,RadioId,RadioName,RadioFrequency,Designator,Id
BRUNSWICK GOLDEN ISLES,,AWOS,124.17,KBQK,1
DONA ANA COUNTY AT SANTA TERESA,,CTAF,122.8,5T6,2
DONALDSON CENTER,,Ground,121.4,KGYH,3
Doncaster-Sheffield (ex RAF Finningley,,TWR,128.77,EGCN,4
DORTMUND,,ATIS,125.12,EDLW,5
DRAKE FLD,,UNICOM,122.95,KFYV,6
DRAKE FLD,,APP/DEP,121,KFYV,7
Du Page,,ASOS,124.8,KDPA,8
Du Page,,ATIS,124.8,KDPA,9
Dublin,,TWR,118.6,EIDW,10
DUBUQUE RGNL,,CTAF,119.5,KDBQ,11
DUKE FLD,,APP,133,KEGI,12
Dundee,,APP,122.9,EGPN,13
Dunk Is,,CTAF,126.7,YDKI,14
DURANGO INTL,,ATIS,132.1,MMDO,15
Durham Downs,,CTAF,126.7,YDRH,16
DUTCHESS CO,,Ground,121.8,KPOU,17
DYERSBURG RGNL,,AWOS,135.62,KDYR,18
EAGLE CO RGNL,,CTAF,119.8,KEGE,19
EAKER FLD,,CTAF,122.8,KDUA,20
EARLY CO,,AWOS,118.47,KBIJ,21
EAST JORDAN CITY,,CTAF,122.8,Y94,22
EAST TEXAS RGNL,,ATIS,119.65,KGGG,23
EASTERN OREGON RGNL AT PENDLETON,,Ground,121.9,KPDT,24
Edinburgh,,TWR,118.7,EGPH,25
Edmonton City Centre (Blatchford Fld),,Clearance delivery,121.3,CYXD,26
Edmonton City Centre (Blatchford Fld),,DEP,119.5,CYXD,27
Eduardo Gomes,,ATIS,127.65,SBEG,28
Edwards AFB Rogers Dry Lake,,Ground,121.8,KEDW,29
EFES,,TWR,131,LTFB,30
EGLIN AFB,,Ground,121.8,KVPS,31
Eindhoven,,TWR,122.1,EHEH,32
Eindhoven,,APP,122.1,EHEH,33
EL AROUI,,TWR,118.65,GMMW,34
EL BOSQUE,,Ground,121.8,SCBQ,35
EL CALAFATE,,Ground,121.8,SAWC,36
EL DORADO SPRINGS MEM,,CTAF,122.8,87K,37
EL TEPUAL INTL,,Ground,121.9,SCTE,38
EL TROMPILLO,,APP,119.7,SLET,39
ELAZIG,,APP,118.1,LTCA,40
Eldorado Intl,,APP,121.3,SKBO,41
ELISTA,,APP,124.2,URWI,42
ELIZABETH CITY CGAS RGNL,,Ground,121.9,KECG,43
ELIZABETHTON MUNI,,CTAF,123,0A9,44
ELKHART MORTON CO,,CTAF,122.8,KEHA,45
ELKHART MUNI,,Clearance delivery,121.8,KEKM,46
ELLINGTON FLD,,UNICOM,122.95,KEFD,47
ELLINGTON FLD,,TWR,126.05,KEFD,48
ELLIOT LAKE MUNI,,CTAF,123,CYEL,49
ELMENDORF AFB,,ATIS,124.3,PEDF,50
Elmira Corning Rgnl,,APP/DEP,118.15,KELM,51
ELROY MUNI,,CTAF,122.9,60C,52
Ely Arpt Yelland Fld,,ASOS,120.62,KELY,53
EMMONAK,,AWOS,135.35,PAEM,54
EMPORIA MUNI,,CTAF,122.8,KEMP,55
Engati,,AWOS,127.7,EGA,56
ENNIS MUNI,,APP/DEP,125.2,F41,57
ENRIQUE MALEK INTL,,APP,123.3,MPDA,58
ENTEBBE INTL,,APP,119.1,HUEN,59
Eppley Afld,,APP/DEP,120.1,KOMA,60
ERBIL INTL,,APP,129.75,ORER,61
Erfurt,,TWR,133.57,EDDE,62
ERHAC,,APP,122.1,LTAT,63
Erie Intl Tom Ridge Fld,,Clearance delivery,126.8,KERI,64
ERIE MUNICIPAL,,AWOS,133.82,KEIK,65
ERKILET,,APP,122.1,LTAU,66
Ernesto Cortissoz,,ATIS,113.7,SKBQ,67
ERZURUM,,Ground,121.95,LTCE,68
ES SENIA,,APP,121.1,DAOO,69
ESBJERG,,AFIS,120.15,EKEB,70
ESENBOGA,,Ground,121.9,LTAC,71
ESFAHAN SHAHID BEHESHTI INTL,,ATIS,128.25,OIFM,72
Esperance,,CTAF/UNICOM,119.8,YESP,73
Essen Mulheim,,TWR,129.87,EDLE,74
Essex Co,,ATIS,135.5,KCDW,75
Essex Co,,DEP,119.2,KCDW,76
ETIMESGUT,,TWR,122.1,LTAD,77
Eucla Roadstrip,,CTAF,127.6,YECL,78
Eulogio Sanchez,,Ground,121.6,SCTB,79
EUREKA,,CTAF,122.9,CYEU,80
EUTAW MUNI,,CTAF,122.9,3A7,81
Evans Head,,CTAF,124.2,YEVD,82
EVANSTON UINTA CO BURNS FLD,,CTAF,122.8,KEVW,83
EVANSVILLE RGNL,,Clearance delivery,126.6,KEVV,84
EVANSVILLE RGNL,,APP/DEP,127.35,KEVV,85
EVENES,,ATIS,126.02,ENEV,86
Everard Park,,CTAF,126.7,YEVP,87
Executive,,Clearance delivery,128.45,KORL,88
EXETER,,APP,128.97,EGTE,89
Eyguieres,,FSS,119.7,LFNE,90
FAIRBANKS INTL,,ASOS,119.02,PAFA,91
FAIRBANKS INTL,,APP,126.5,PAFA,92
