AirportName,CreateDate,RunwayNumber,RunwayLength,RunwayWidth,RunwaySurface,Designator,Id
Berlin Tempelhof,2008-04-30 14:24:00,H1,62,62,Concrete,EDDI,1
Cherry Point MCAS,2008-04-30 14:24:00,05L/23R,7553,200,Asphalt,KNKT,2
Chicago Glider Club,2008-04-30 14:24:00,09/27,2001,250,Turf or Grass,IL59,3
CHICAGO ROCKFORD INTL,2008-04-30 14:24:00,07/25,9983,150,Asphalt,KRFD,4
CHICO MUNI,2008-04-30 14:24:00,13R/31L,3006,60,Asphalt,KCIC,5
CHILDRESS MUNI,2008-04-30 14:24:00,04/22,4425,60,Asphalt,KCDS,6
Chilhowee,2008-04-30 14:24:00,03/21,2602,200,Turf or Grass,92A,7
China Peak Observatory,2008-04-30 14:24:00,12/30,1651,120,Turf or Grass,AZ45,8
Chinook Ultralight Airpark,2008-04-30 14:24:00,14/32,650,75,Turf or Grass,52OR,9
Chirk,2008-04-30 14:24:00,01/19,1641,66,Asphalt,EG19,10
CHITOSE,2008-04-30 14:24:00,18L/36R,13134,200,Concrete,RJCJ,11
CHOIBALSAN,2008-04-30 14:24:00,12/30,8470,131,Concrete,ZMCD,12
Christianson Field,2008-04-30 14:24:00,36/18,2602,60,Turf or Grass,Y61,13
CHRISTMAN FIELD,2008-04-30 14:24:00,16/34,4004,60,Asphalt,CO55,14
Christmas Island Seaport,2008-04-30 14:24:00,36/18,3002,3000,Water,QXMS,15
CHUHUIV,2008-04-30 14:24:00,17/35,8206,155,Concrete,UK59,16
CHURCHILL,2008-04-30 14:24:00,07/25,3986,100,Gravel,CYYQ,17
CINCINNATI BLUE ASH,2008-04-30 14:24:00,06/24,3495,75,Asphalt,KISZ,18
Cincinnati Northern Kentucky Intl,2008-04-30 14:24:00,18C/36C,11016,150,Asphalt,KCVG,19
Cinco B Ranch,2008-04-30 14:24:00,09/27,3802,75,Turf or Grass,T87,20
Circle City,2008-04-30 14:24:00,15/33,3002,60,Gravel,CRC,21
CIRCLE L RANCH,2008-04-30 14:24:00,13/31,4401,60,Asphalt,NV27,22
Citabriair,2008-04-30 14:24:00,14/32,3502,40,Turf or Grass,UT43,23
CITY CO,2008-04-30 14:24:00,03/21,2734,50,Asphalt,S33,24
CLAREMORE RGNL,2008-04-30 14:24:00,17/35,5210,75,Asphalt,KGCM,25
CLARENCE E PAGE MUNI,2008-04-30 14:24:00,17L/35R,3510,75,Asphalt,F29,26
CLEAR,2008-04-30 14:24:00,01/19,3988,100,Asphalt,PACL,27
Clear Lake Municipal,2008-04-30 14:24:00,02/20,2131,150,Turf or Grass,SD11,28
Clearview Airpark,2008-04-30 14:24:00,13/31,1845,30,Asphalt,2W2,29
Clearwater Airpark,2008-04-30 14:24:00,H1,100,100,Turf or Grass,21OI,30
Cliffords,2008-04-30 14:24:00,03/21,1681,50,Turf or Grass,ME69,31
Cline Ranch Strip,2008-04-30 14:24:00,08/26,2802,60,Asphalt,GA81,32
Clintonville Muni,2008-04-30 14:24:00,04/22,3296,100,Asphalt,KCLI,33
Clio Crop Care,2008-04-30 14:24:00,05/23,2702,125,Turf or Grass,9W9,34
CLOVIS MUNI,2008-04-30 14:24:00,08/26,2489,75,Dirt,KCVN,35
CML,2008-04-30 14:24:00,09/27,4415,80,Turf or Grass,FD13,36
COCHISE CO,2008-04-30 14:24:00,14/32,6137,150,Asphalt,P33,37
Coeroenie,2008-04-30 14:24:00,10/28,4037,58,Concrete,SMCI,38
COLD LAKE,2008-04-30 14:24:00,13L/31R,12569,200,Asphalt,CYOD,39
Cole Field,2008-04-30 14:24:00,03/21,2271,100,Turf or Grass,67G,40
COLERNE,2008-04-30 14:24:00,07/25,5444,151,Asphalt,EGUO,41
COLIMA,2008-04-30 14:24:00,07/25,7531,148,Asphalt,MMIA,42
COLLEGEDALE MUNI,2008-04-30 14:24:00,03/21,4705,75,Asphalt,3M3,43
Coloma Municipal,2008-04-30 14:24:00,18/36,2602,40,Gravel,51C,44
Colorado Antique Field,2008-04-30 14:24:00,07/25,3402,150,Turf or Grass,8CO7,45
COLORADO SPRINGS EAST,2008-04-30 14:24:00,17L/35R,4503,40,Gravel,A50,46
Colstrip,2008-04-30 14:24:00,06/24,5086,75,Asphalt,M46,47
Columbia Ag,2008-04-30 14:24:00,16/34,2001,50,Dirt,53WA,48
COLUMBIA MARION CO,2008-04-30 14:24:00,05/23,4458,70,Asphalt,0R0,49
Columbia Owens Downtown,2008-04-30 14:24:00,13/31,4999,75,Asphalt,KCUB,50
COLUMBUS,2008-04-30 14:24:00,10/28,3805,75,Asphalt,6S3,51
COLUMBUS AFB AUX AFLD,2008-04-30 14:24:00,13/31,6302,150,Asphalt,1MS8,52
COLUMBUS MUNI,2008-04-30 14:24:00,14/32,6802,100,Concrete,KBAK,53
COMANDANTE ESPORA,2008-04-30 14:24:00,06/24,6613,116,Asphalt,SAZB,54
COMANDANTE FAP GERMAN ARIAS GRAZIANI,2008-04-30 14:24:00,16/34,9951,98,Asphalt,SPHZ,55
COMMERCE MUNI,2008-04-30 14:24:00,18/36,3919,60,Asphalt,2F7,56
COMODORO RIVADAVIA,2008-04-30 14:24:00,07/25,9266,164,Concrete,SAVC,57
Comox,2008-04-30 14:24:00,18/36,4914,200,Asphalt,CYQQ,58
Compton,2008-04-30 14:24:00,09/27,2001,60,Turf or Grass,44OR,59
COMPTON WOODLEY,2008-04-30 14:24:00,07L/25R,3316,60,Asphalt,KCPM,60
Concepcion,2008-04-30 14:24:00,16/34,5744,82,Concrete,SLCP,61
CONDON STATE PAULING FLD,2008-04-30 14:24:00,07/25,3491,60,Concrete,3S9,62
Cone,2008-04-30 14:24:00,08/26,2502,80,Turf or Grass,3F1,63
Conklin (Leismer),2008-04-30 14:24:00,08/26,5003,100,Dirt,ET2,64
Connemara,2008-04-30 14:24:00,05/23,1869,59,Asphalt,EICA,65
CONTINENTAL,2008-04-30 14:24:00,01/19,3595,50,Dirt,35AZ,66
Cooinda,2008-04-30 14:24:00,09/27,4237,40,Dirt,YCOO,67
Cook Field,2008-04-30 14:24:00,32/14,2642,120,Turf or Grass,SD44,68
Cooksey Brothers,2008-04-30 14:24:00,09/27,3502,100,Turf or Grass,FD42,69
Cooloola,2008-04-30 14:24:00,16/34,3282,40,Dirt,YCXA,70
Cooper Ranch,2008-04-30 14:24:00,01/19,1301,80,Turf or Grass,AZ71,71
Copalis State,2008-04-30 14:24:00,14/32,4503,150,Dirt,S16,72
Coppersmith,2008-04-30 14:24:00,18/36,2642,60,Turf or Grass,2NE6,73
Cordoba,2008-04-30 14:24:00,03/21,4530,148,Asphalt,MM20,74
Corning Municipal,2008-04-30 14:24:00,16/34,2702,50,Asphalt,0O4,75
CORONEL E  CARVAJAL,2008-04-30 14:24:00,01/19,8244,98,Asphalt,SEMC,76
CORVALLIS MUNI,2008-04-30 14:24:00,09/27,3338,75,Asphalt,KCVO,77
COSALA,2008-04-30 14:24:00,13/31,3941,48,Asphalt,MM50,78
Cotton Strip,2008-04-30 14:24:00,09/27,6004,400,Water,7X7,79
Cougar Mountain Airfield,2008-04-30 14:24:00,36/18,3232,300,Turf or Grass,49WA,80
Cowell,2008-04-30 14:24:00,17/35,4833,97,Dirt,YCWL,81
Cox,2008-04-30 14:24:00,09/27,2001,75,Turf or Grass,NC81,82
COXS BAZAR,2008-04-30 14:24:00,17/35,6785,125,Asphalt,VGCB,83
Coyle Field,2008-04-30 14:24:00,05/23,1801,100,Gravel,NJ20,84
CRANE CO,2008-04-30 14:24:00,08/26,2248,50,Gravel,E13,85
Cranwell,2008-04-30 14:24:00,09/27,5970,147,Asphalt,EGYD,86
CRAWFORD,2008-04-30 14:24:00,07R/25L,2502,125,Dirt,0CA3,87
Crawford Bay,2008-04-30 14:24:00,14/32,2702,75,Turf or Grass,AR2,88
Creasy,2008-04-30 14:24:00,12/30,2602,150,Turf or Grass,5TA5,89
Cribbet,2008-04-30 14:24:00,09/27,2281,80,Turf or Grass,1IS3,90
Cridler Field,2008-04-30 14:24:00,05/23,2602,80,Dirt,3CO1,91
Crivitz Municipal,2008-04-30 14:24:00,09/27,1251,70,Turf or Grass,3D1,92
Croft Farm,2008-04-30 14:24:00,28/10,1871,59,Asphalt,EG24,93
Crook Rla,2008-04-30 14:24:00,09/27,1815,75,Turf or Grass,IL18,94
Cross Creek Farms,2008-04-30 14:24:00,09/27,3002,100,Turf or Grass,04FL,95
Cross Roads,2008-04-30 14:24:00,05/23,1125,75,Turf or Grass,NC23,96
CUDDIHY FLD,2008-04-30 14:24:00,13/31,4974,100,Asphalt,07TE,97
CUFAR,2008-04-30 14:24:00,06/24,6241,74,Asphalt,GGCF,98
Culmerville,2008-04-30 14:24:00,09/27,1685,178,Turf or Grass,G04,99
Culver Airfield,2008-04-30 14:24:00,09/27,2402,60,Turf or Grass,7NY4,100
Curitibanos,2008-04-30 14:24:00,10/28,3282,47,Concrete,SSKU,101
Curry,2008-04-30 14:24:00,01/19,2602,200,Turf or Grass,SC16,102
Curtis and Curtis,2008-04-30 14:24:00,17/35,3602,40,Dirt,65E,103
Custom Aire Service,2008-04-30 14:24:00,17/35,2201,80,Turf or Grass,81D,104
Cx Ranch,2008-04-30 14:24:00,08/26,2402,40,Turf or Grass,ID01,105
DAEGU AB,2008-04-30 14:24:00,13L/31R,9006,150,Concrete,RKTN,106
Dahler,2008-04-30 14:24:00,09/27,2201,70,Turf or Grass,6H9,107
Dajabon,2008-04-30 14:24:00,07/25,5604,150,Concrete,MDDJ,108
Dakota Gas - Private,2008-04-30 14:24:00,11/29,3002,60,Turf or Grass,ND58,109
Dale Curten Farm,2008-04-30 14:24:00,06/24,1751,70,Turf or Grass,37LL,110
Dalhousie,2008-04-30 14:24:00,21/03,4319,120,Dirt,YDLH,111
DALOA,2008-04-30 14:24:00,04/22,6598,98,Concrete,DIDL,112
DAngelo,2008-04-30 14:24:00,10/28,2452,65,Turf or Grass,6MD7,113
Danime/Yugwa (ABMS),2008-04-30 14:24:00,05/23,2610,69,Turf or Grass,WX62,114
DARE CO RGNL,2008-04-30 14:24:00,05/23,4302,100,Asphalt,KMQI,115
Darwin Intl,2008-04-30 14:24:00,11/29,10997,197,Asphalt,YPDN,116
DAUPHIN BARKER,2008-04-30 14:24:00,08/26,2671,75,Asphalt,CYDN,117
Davenport Downs,2008-04-30 14:24:00,03/21,3298,40,Dirt,YDPD,118
David Lowe,2008-04-30 14:24:00,16/34,1701,100,Turf or Grass,80KY,119
Davin Lake,2008-04-30 14:24:00,04/22,1771,50,Dry lakebed or Beach,CKW6,120
Dawson Farms,2008-04-30 14:24:00,18/36,2416,60,Turf or Grass,0IS4,121
Dax Seyresse,2008-04-30 14:24:00,26/08,2462,98,Dirt,LFBY,122
Day Private. Airfield,2008-04-30 14:24:00,11/29,2251,50,Turf or Grass,NA42,123
Daytona Beach Intl,2008-04-30 14:24:00,07R/25L,3192,98,Asphalt,KDAB,124
De Witt Property,2008-04-30 14:24:00,09/27,1301,150,Turf or Grass,34MI,125
Dearing Ranch,2008-04-30 14:24:00,36/18,2281,30,Turf or Grass,73XS,126
DEBRECEN,2008-04-30 14:24:00,05L/23R,8078,230,Concrete,LHDC,127
DECATUR CO INDUSTRIAL AIRPARK,2008-04-30 14:24:00,14/32,5006,100,Asphalt,KBGE,128
Dechant Farms,2008-04-30 14:24:00,18/36,2101,30,Turf or Grass,48OH,129
Decker Farm,2008-04-30 14:24:00,08/26,1601,75,Turf or Grass,TN03,130
Dee Jay,2008-04-30 14:24:00,09/27,1801,125,Turf or Grass,8PA1,131
Deelen,2008-04-30 14:24:00,02/20,9668,164,Asphalt,EHDL,132
Deep Woods Ranch,2008-04-30 14:24:00,05/23,2802,100,Turf or Grass,FD86,133
DEER PARK,2008-04-30 14:24:00,04/22,3193,60,Asphalt,KDEW,134
Deerfield Landing,2008-04-30 14:24:00,17/35,3702,100,Turf or Grass,54GA,135
Deiter,2008-04-30 14:24:00,08/26,2201,100,Turf or Grass,3DE,136
